"Area","MTU","Biomass - Actual Aggregated [MW]","Energy storage - Actual Aggregated [MW]","Fossil Brown coal/Lignite - Actual Aggregated [MW]","Fossil Coal-derived gas - Actual Aggregated [MW]","Fossil Gas - Actual Aggregated [MW]","Fossil Hard coal - Actual Aggregated [MW]","Fossil Oil - Actual Aggregated [MW]","Fossil Oil shale - Actual Aggregated [MW]","Fossil Peat - Actual Aggregated [MW]","Geothermal - Actual Aggregated [MW]","Hydro Pumped Storage - Actual Aggregated [MW]","Hydro Pumped Storage - Actual Consumption [MW]","Hydro Run-of-river and poundage - Actual Aggregated [MW]","Hydro Water Reservoir - Actual Aggregated [MW]","Marine - Actual Aggregated [MW]","Nuclear - Actual Aggregated [MW]","Other - Actual Aggregated [MW]","Other renewable - Actual Aggregated [MW]","Solar - Actual Aggregated [MW]","Waste - Actual Aggregated [MW]","Wind Offshore - Actual Aggregated [MW]","Wind Onshore - Actual Aggregated [MW]"
"BZN|DK2","24.07.2023 00:00 - 24.07.2023 01:00 (UTC)","5","n/e","n/e","n/e","46","74","15","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","42","702","281"
"BZN|DK2","24.07.2023 01:00 - 24.07.2023 02:00 (UTC)","5","n/e","n/e","n/e","45","74","15","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","42","672","280"
"BZN|DK2","24.07.2023 02:00 - 24.07.2023 03:00 (UTC)","5","n/e","n/e","n/e","46","74","15","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","41","751","300"
"BZN|DK2","24.07.2023 03:00 - 24.07.2023 04:00 (UTC)","5","n/e","n/e","n/e","47","77","15","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","3","42","808","332"
"BZN|DK2","24.07.2023 04:00 - 24.07.2023 05:00 (UTC)","5","n/e","n/e","n/e","46","75","15","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","29","42","835","346"
"BZN|DK2","24.07.2023 05:00 - 24.07.2023 06:00 (UTC)","5","n/e","n/e","n/e","46","74","15","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","65","43","864","364"
"BZN|DK2","24.07.2023 06:00 - 24.07.2023 07:00 (UTC)","5","n/e","n/e","n/e","45","72","15","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","136","41","835","343"
"BZN|DK2","24.07.2023 07:00 - 24.07.2023 08:00 (UTC)","5","n/e","n/e","n/e","44","72","14","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","191","41","797","330"
"BZN|DK2","24.07.2023 08:00 - 24.07.2023 09:00 (UTC)","4","n/e","n/e","n/e","44","72","14","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","211","41","857","311"
"BZN|DK2","24.07.2023 09:00 - 24.07.2023 10:00 (UTC)","5","n/e","n/e","n/e","44","72","14","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","268","40","751","281"
"BZN|DK2","24.07.2023 10:00 - 24.07.2023 11:00 (UTC)","5","n/e","n/e","n/e","45","74","15","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","325","41","669","266"
"BZN|DK2","24.07.2023 11:00 - 24.07.2023 12:00 (UTC)","4","n/e","n/e","n/e","46","74","15","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","417","42","632","254"
"BZN|DK2","24.07.2023 12:00 - 24.07.2023 13:00 (UTC)","5","n/e","n/e","n/e","46","75","15","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","474","42","492","196"
"BZN|DK2","24.07.2023 13:00 - 24.07.2023 14:00 (UTC)","5","n/e","n/e","n/e","44","71","14","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","497","41","405","143"
"BZN|DK2","24.07.2023 14:00 - 24.07.2023 15:00 (UTC)","10","n/e","n/e","n/e","44","71","14","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","430","41","278","125"
"BZN|DK2","24.07.2023 15:00 - 24.07.2023 16:00 (UTC)","15","n/e","n/e","n/e","42","68","14","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","283","40","216","103"
